,model,metric,fold,value
0,DecisionTree,accuracy,0,0.7272727272727273
1,DecisionTree,accuracy,1,0.7792207792207793
2,DecisionTree,accuracy,2,0.7792207792207793
3,DecisionTree,accuracy,3,0.8051948051948052
4,DecisionTree,accuracy,4,0.7792207792207793
5,DecisionTree,accuracy,5,0.7142857142857143
6,DecisionTree,accuracy,6,0.7012987012987013
7,DecisionTree,accuracy,7,0.7662337662337663
8,DecisionTree,accuracy,8,0.6973684210526315
9,DecisionTree,accuracy,9,0.6578947368421053
10,DecisionTree,precision,0,0.5789473684210527
11,DecisionTree,precision,1,0.7272727272727273
12,DecisionTree,precision,2,0.7083333333333334
13,DecisionTree,precision,3,0.7142857142857143
14,DecisionTree,precision,4,0.7272727272727273
15,DecisionTree,precision,5,0.6
16,DecisionTree,precision,6,0.5714285714285714
17,DecisionTree,precision,7,0.68
18,DecisionTree,precision,8,0.5483870967741935
19,DecisionTree,precision,9,0.5
20,DecisionTree,recall,0,0.8148148148148148
21,DecisionTree,recall,1,0.5925925925925926
22,DecisionTree,recall,2,0.6296296296296297
23,DecisionTree,recall,3,0.7407407407407407
24,DecisionTree,recall,4,0.5925925925925926
25,DecisionTree,recall,5,0.5555555555555556
26,DecisionTree,recall,6,0.5925925925925926
27,DecisionTree,recall,7,0.6296296296296297
28,DecisionTree,recall,8,0.6538461538461539
29,DecisionTree,recall,9,0.4230769230769231
30,DecisionTree,f1,0,0.676923076923077
31,DecisionTree,f1,1,0.6530612244897959
32,DecisionTree,f1,2,0.6666666666666666
33,DecisionTree,f1,3,0.7272727272727273
34,DecisionTree,f1,4,0.6530612244897959
35,DecisionTree,f1,5,0.5769230769230769
36,DecisionTree,f1,6,0.5818181818181818
37,DecisionTree,f1,7,0.6538461538461539
38,DecisionTree,f1,8,0.5964912280701754
39,DecisionTree,f1,9,0.4583333333333333
40,DecisionTree,balanced_accuracy,0,0.7474074074074074
41,DecisionTree,balanced_accuracy,1,0.7362962962962962
42,DecisionTree,balanced_accuracy,2,0.7448148148148148
43,DecisionTree,balanced_accuracy,3,0.7903703703703704
44,DecisionTree,balanced_accuracy,4,0.7362962962962962
45,DecisionTree,balanced_accuracy,5,0.6777777777777778
46,DecisionTree,balanced_accuracy,6,0.6762962962962963
47,DecisionTree,balanced_accuracy,7,0.7348148148148148
48,DecisionTree,balanced_accuracy,8,0.686923076923077
49,DecisionTree,balanced_accuracy,9,0.6015384615384616
50,DecisionTree,mcc,0,0.4722646907420217
51,DecisionTree,mcc,1,0.49918452017784487
52,DecisionTree,mcc,2,0.5044185153893525
53,DecisionTree,mcc,3,0.5760658398584765
54,DecisionTree,mcc,4,0.49918452017784487
55,DecisionTree,mcc,5,0.36232865092627065
56,DecisionTree,mcc,6,0.349754259914075
57,DecisionTree,mcc,7,0.4785757597651158
58,DecisionTree,mcc,8,0.3608921946768315
59,DecisionTree,mcc,9,0.21243400181751773
60,DecisionTree,tn_rate,0,0.44155844155844154
61,DecisionTree,tn_rate,1,0.5714285714285714
62,DecisionTree,tn_rate,2,0.5584415584415584
63,DecisionTree,tn_rate,3,0.5454545454545454
64,DecisionTree,tn_rate,4,0.5714285714285714
65,DecisionTree,tn_rate,5,0.5194805194805194
66,DecisionTree,tn_rate,6,0.4935064935064935
67,DecisionTree,tn_rate,7,0.5454545454545454
68,DecisionTree,tn_rate,8,0.47368421052631576
69,DecisionTree,tn_rate,9,0.5131578947368421
70,DecisionTree,fp_rate,0,0.2077922077922078
71,DecisionTree,fp_rate,1,0.07792207792207792
72,DecisionTree,fp_rate,2,0.09090909090909091
73,DecisionTree,fp_rate,3,0.1038961038961039
74,DecisionTree,fp_rate,4,0.07792207792207792
75,DecisionTree,fp_rate,5,0.12987012987012986
76,DecisionTree,fp_rate,6,0.15584415584415584
77,DecisionTree,fp_rate,7,0.1038961038961039
78,DecisionTree,fp_rate,8,0.18421052631578946
79,DecisionTree,fp_rate,9,0.14473684210526316
80,DecisionTree,fn_rate,0,0.06493506493506493
81,DecisionTree,fn_rate,1,0.14285714285714285
82,DecisionTree,fn_rate,2,0.12987012987012986
83,DecisionTree,fn_rate,3,0.09090909090909091
84,DecisionTree,fn_rate,4,0.14285714285714285
85,DecisionTree,fn_rate,5,0.15584415584415584
86,DecisionTree,fn_rate,6,0.14285714285714285
87,DecisionTree,fn_rate,7,0.12987012987012986
88,DecisionTree,fn_rate,8,0.11842105263157894
89,DecisionTree,fn_rate,9,0.19736842105263158
90,DecisionTree,tp_rate,0,0.2857142857142857
91,DecisionTree,tp_rate,1,0.2077922077922078
92,DecisionTree,tp_rate,2,0.22077922077922077
93,DecisionTree,tp_rate,3,0.2597402597402597
94,DecisionTree,tp_rate,4,0.2077922077922078
95,DecisionTree,tp_rate,5,0.19480519480519481
96,DecisionTree,tp_rate,6,0.2077922077922078
97,DecisionTree,tp_rate,7,0.22077922077922077
98,DecisionTree,tp_rate,8,0.2236842105263158
99,DecisionTree,tp_rate,9,0.14473684210526316
100,GradientBoosting,accuracy,0,0.7402597402597403
101,GradientBoosting,accuracy,1,0.7402597402597403
102,GradientBoosting,accuracy,2,0.7532467532467533
103,GradientBoosting,accuracy,3,0.8051948051948052
104,GradientBoosting,accuracy,4,0.8311688311688312
105,GradientBoosting,accuracy,5,0.7272727272727273
106,GradientBoosting,accuracy,6,0.7402597402597403
107,GradientBoosting,accuracy,7,0.7532467532467533
108,GradientBoosting,accuracy,8,0.7763157894736842
109,GradientBoosting,accuracy,9,0.631578947368421
110,GradientBoosting,precision,0,0.6129032258064516
111,GradientBoosting,precision,1,0.6666666666666666
112,GradientBoosting,precision,2,0.6428571428571429
113,GradientBoosting,precision,3,0.75
114,GradientBoosting,precision,4,0.7916666666666666
115,GradientBoosting,precision,5,0.6153846153846154
116,GradientBoosting,precision,6,0.6296296296296297
117,GradientBoosting,precision,7,0.6333333333333333
118,GradientBoosting,precision,8,0.6451612903225806
119,GradientBoosting,precision,9,0.4583333333333333
120,GradientBoosting,recall,0,0.7037037037037037
121,GradientBoosting,recall,1,0.5185185185185185
122,GradientBoosting,recall,2,0.6666666666666666
123,GradientBoosting,recall,3,0.6666666666666666
124,GradientBoosting,recall,4,0.7037037037037037
125,GradientBoosting,recall,5,0.5925925925925926
126,GradientBoosting,recall,6,0.6296296296296297
127,GradientBoosting,recall,7,0.7037037037037037
128,GradientBoosting,recall,8,0.7692307692307693
129,GradientBoosting,recall,9,0.4230769230769231
130,GradientBoosting,f1,0,0.6551724137931034
131,GradientBoosting,f1,1,0.5833333333333334
132,GradientBoosting,f1,2,0.6545454545454545
133,GradientBoosting,f1,3,0.7058823529411765
134,GradientBoosting,f1,4,0.7450980392156863
135,GradientBoosting,f1,5,0.6037735849056604
136,GradientBoosting,f1,6,0.6296296296296297
137,GradientBoosting,f1,7,0.6666666666666666
138,GradientBoosting,f1,8,0.7017543859649122
139,GradientBoosting,f1,9,0.44
140,GradientBoosting,balanced_accuracy,0,0.7318518518518519
141,GradientBoosting,balanced_accuracy,1,0.6892592592592592
142,GradientBoosting,balanced_accuracy,2,0.7333333333333334
143,GradientBoosting,balanced_accuracy,3,0.7733333333333333
144,GradientBoosting,balanced_accuracy,4,0.8018518518518518
145,GradientBoosting,balanced_accuracy,5,0.6962962962962963
146,GradientBoosting,balanced_accuracy,6,0.7148148148148148
147,GradientBoosting,balanced_accuracy,7,0.7418518518518519
148,GradientBoosting,balanced_accuracy,8,0.7746153846153847
149,GradientBoosting,balanced_accuracy,9,0.5815384615384616
150,GradientBoosting,mcc,0,0.4511777625672017
151,GradientBoosting,mcc,1,0.40555555555555556
152,GradientBoosting,mcc,2,0.4629100498862757
153,GradientBoosting,mcc,3,0.563178312189625
154,GradientBoosting,mcc,4,0.6219381089898975
155,GradientBoosting,mcc,5,0.3961295342422729
156,GradientBoosting,mcc,6,0.42962962962962964
157,GradientBoosting,mcc,7,0.4733002574487753
158,GradientBoosting,mcc,8,0.5301996440313944
159,GradientBoosting,mcc,9,0.16643968765065184
160,GradientBoosting,tn_rate,0,0.4935064935064935
161,GradientBoosting,tn_rate,1,0.5584415584415584
162,GradientBoosting,tn_rate,2,0.5194805194805194
163,GradientBoosting,tn_rate,3,0.5714285714285714
164,GradientBoosting,tn_rate,4,0.5844155844155844
165,GradientBoosting,tn_rate,5,0.5194805194805194
166,GradientBoosting,tn_rate,6,0.5194805194805194
167,GradientBoosting,tn_rate,7,0.5064935064935064
168,GradientBoosting,tn_rate,8,0.5131578947368421
169,GradientBoosting,tn_rate,9,0.4868421052631579
170,GradientBoosting,fp_rate,0,0.15584415584415584
171,GradientBoosting,fp_rate,1,0.09090909090909091
172,GradientBoosting,fp_rate,2,0.12987012987012986
173,GradientBoosting,fp_rate,3,0.07792207792207792
174,GradientBoosting,fp_rate,4,0.06493506493506493
175,GradientBoosting,fp_rate,5,0.12987012987012986
176,GradientBoosting,fp_rate,6,0.12987012987012986
177,GradientBoosting,fp_rate,7,0.14285714285714285
178,GradientBoosting,fp_rate,8,0.14473684210526316
179,GradientBoosting,fp_rate,9,0.17105263157894737
180,GradientBoosting,fn_rate,0,0.1038961038961039
181,GradientBoosting,fn_rate,1,0.16883116883116883
182,GradientBoosting,fn_rate,2,0.11688311688311688
183,GradientBoosting,fn_rate,3,0.11688311688311688
184,GradientBoosting,fn_rate,4,0.1038961038961039
185,GradientBoosting,fn_rate,5,0.14285714285714285
186,GradientBoosting,fn_rate,6,0.12987012987012986
187,GradientBoosting,fn_rate,7,0.1038961038961039
188,GradientBoosting,fn_rate,8,0.07894736842105263
189,GradientBoosting,fn_rate,9,0.19736842105263158
190,GradientBoosting,tp_rate,0,0.24675324675324675
191,GradientBoosting,tp_rate,1,0.18181818181818182
192,GradientBoosting,tp_rate,2,0.23376623376623376
193,GradientBoosting,tp_rate,3,0.23376623376623376
194,GradientBoosting,tp_rate,4,0.24675324675324675
195,GradientBoosting,tp_rate,5,0.2077922077922078
196,GradientBoosting,tp_rate,6,0.22077922077922077
197,GradientBoosting,tp_rate,7,0.24675324675324675
198,GradientBoosting,tp_rate,8,0.2631578947368421
199,GradientBoosting,tp_rate,9,0.14473684210526316
200,MultiLayerPerceptron,accuracy,0,0.7402597402597403
201,MultiLayerPerceptron,accuracy,1,0.7142857142857143
202,MultiLayerPerceptron,accuracy,2,0.6493506493506493
203,MultiLayerPerceptron,accuracy,3,0.7402597402597403
204,MultiLayerPerceptron,accuracy,4,0.6753246753246753
205,MultiLayerPerceptron,accuracy,5,0.7792207792207793
206,MultiLayerPerceptron,accuracy,6,0.6363636363636364
207,MultiLayerPerceptron,accuracy,7,0.7142857142857143
208,MultiLayerPerceptron,accuracy,8,0.7105263157894737
209,MultiLayerPerceptron,accuracy,9,0.6973684210526315
210,MultiLayerPerceptron,precision,0,0.7333333333333333
211,MultiLayerPerceptron,precision,1,0.6190476190476191
212,MultiLayerPerceptron,precision,2,0.5
213,MultiLayerPerceptron,precision,3,0.6129032258064516
214,MultiLayerPerceptron,precision,4,0.5714285714285714
215,MultiLayerPerceptron,precision,5,0.7083333333333334
216,MultiLayerPerceptron,precision,6,0.4838709677419355
217,MultiLayerPerceptron,precision,7,0.6086956521739131
218,MultiLayerPerceptron,precision,8,0.6666666666666666
219,MultiLayerPerceptron,precision,9,0.5714285714285714
220,MultiLayerPerceptron,recall,0,0.4074074074074074
221,MultiLayerPerceptron,recall,1,0.48148148148148145
222,MultiLayerPerceptron,recall,2,0.5185185185185185
223,MultiLayerPerceptron,recall,3,0.7037037037037037
224,MultiLayerPerceptron,recall,4,0.2962962962962963
225,MultiLayerPerceptron,recall,5,0.6296296296296297
226,MultiLayerPerceptron,recall,6,0.5555555555555556
227,MultiLayerPerceptron,recall,7,0.5185185185185185
228,MultiLayerPerceptron,recall,8,0.3076923076923077
229,MultiLayerPerceptron,recall,9,0.46153846153846156
230,MultiLayerPerceptron,f1,0,0.5238095238095238
231,MultiLayerPerceptron,f1,1,0.5416666666666666
232,MultiLayerPerceptron,f1,2,0.509090909090909
233,MultiLayerPerceptron,f1,3,0.6551724137931034
234,MultiLayerPerceptron,f1,4,0.3902439024390244
235,MultiLayerPerceptron,f1,5,0.6666666666666666
236,MultiLayerPerceptron,f1,6,0.5172413793103449
237,MultiLayerPerceptron,f1,7,0.56
238,MultiLayerPerceptron,f1,8,0.42105263157894735
239,MultiLayerPerceptron,f1,9,0.5106382978723404
240,MultiLayerPerceptron,balanced_accuracy,0,0.6637037037037037
241,MultiLayerPerceptron,balanced_accuracy,1,0.6607407407407407
242,MultiLayerPerceptron,balanced_accuracy,2,0.6192592592592592
243,MultiLayerPerceptron,balanced_accuracy,3,0.7318518518518519
244,MultiLayerPerceptron,balanced_accuracy,4,0.5881481481481481
245,MultiLayerPerceptron,balanced_accuracy,5,0.7448148148148148
246,MultiLayerPerceptron,balanced_accuracy,6,0.6177777777777778
247,MultiLayerPerceptron,balanced_accuracy,7,0.6692592592592592
248,MultiLayerPerceptron,balanced_accuracy,8,0.6138461538461539
249,MultiLayerPerceptron,balanced_accuracy,9,0.6407692307692308
250,MultiLayerPerceptron,mcc,0,0.39446993708322725
251,MultiLayerPerceptron,mcc,1,0.34444444444444444
252,MultiLayerPerceptron,mcc,2,0.23659846994187425
253,MultiLayerPerceptron,mcc,3,0.4511777625672017
254,MultiLayerPerceptron,mcc,4,0.2181101016938586
255,MultiLayerPerceptron,mcc,5,0.5044185153893525
256,MultiLayerPerceptron,mcc,6,0.2291925375341376
257,MultiLayerPerceptron,mcc,7,0.3529299526817895
258,MultiLayerPerceptron,mcc,8,0.2962370845394112
259,MultiLayerPerceptron,mcc,9,0.29868844171608855
260,MultiLayerPerceptron,tn_rate,0,0.5974025974025974
261,MultiLayerPerceptron,tn_rate,1,0.5454545454545454
262,MultiLayerPerceptron,tn_rate,2,0.4675324675324675
263,MultiLayerPerceptron,tn_rate,3,0.4935064935064935
264,MultiLayerPerceptron,tn_rate,4,0.5714285714285714
265,MultiLayerPerceptron,tn_rate,5,0.5584415584415584
266,MultiLayerPerceptron,tn_rate,6,0.44155844155844154
267,MultiLayerPerceptron,tn_rate,7,0.5324675324675324
268,MultiLayerPerceptron,tn_rate,8,0.6052631578947368
269,MultiLayerPerceptron,tn_rate,9,0.5394736842105263
270,MultiLayerPerceptron,fp_rate,0,0.05194805194805195
271,MultiLayerPerceptron,fp_rate,1,0.1038961038961039
272,MultiLayerPerceptron,fp_rate,2,0.18181818181818182
273,MultiLayerPerceptron,fp_rate,3,0.15584415584415584
274,MultiLayerPerceptron,fp_rate,4,0.07792207792207792
275,MultiLayerPerceptron,fp_rate,5,0.09090909090909091
276,MultiLayerPerceptron,fp_rate,6,0.2077922077922078
277,MultiLayerPerceptron,fp_rate,7,0.11688311688311688
278,MultiLayerPerceptron,fp_rate,8,0.05263157894736842
279,MultiLayerPerceptron,fp_rate,9,0.11842105263157894
280,MultiLayerPerceptron,fn_rate,0,0.2077922077922078
281,MultiLayerPerceptron,fn_rate,1,0.18181818181818182
282,MultiLayerPerceptron,fn_rate,2,0.16883116883116883
283,MultiLayerPerceptron,fn_rate,3,0.1038961038961039
284,MultiLayerPerceptron,fn_rate,4,0.24675324675324675
285,MultiLayerPerceptron,fn_rate,5,0.12987012987012986
286,MultiLayerPerceptron,fn_rate,6,0.15584415584415584
287,MultiLayerPerceptron,fn_rate,7,0.16883116883116883
288,MultiLayerPerceptron,fn_rate,8,0.23684210526315788
289,MultiLayerPerceptron,fn_rate,9,0.18421052631578946
290,MultiLayerPerceptron,tp_rate,0,0.14285714285714285
291,MultiLayerPerceptron,tp_rate,1,0.16883116883116883
292,MultiLayerPerceptron,tp_rate,2,0.18181818181818182
293,MultiLayerPerceptron,tp_rate,3,0.24675324675324675
294,MultiLayerPerceptron,tp_rate,4,0.1038961038961039
295,MultiLayerPerceptron,tp_rate,5,0.22077922077922077
296,MultiLayerPerceptron,tp_rate,6,0.19480519480519481
297,MultiLayerPerceptron,tp_rate,7,0.18181818181818182
